taxon_id	Domain	Status	Study	Genome_Name	Sequencing_Center	IMG_ID	Phylum	Class	Order	Family	Genus	Species	taxid	Strain	Genome_Size	Gene_Count	score2
t649990000	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Staphylococcus lugdunensis M23590	Baylor College of Medicine	649990000	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus lugdunensis	525377	M23590	2521078	2488	NA
t649989991	Bacteria	Permanent Draft	Pseudomonas fluorescens WH6	Pseudomonas fluorescens WH6	Oregon State University	649989991	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	746360	WH6	6265667	5917	NA
t638341106	Bacteria	Permanent Draft	Idiomarina baltica OS145	Idiomarina baltica OS145	J. Craig Venter Institute (JCVI)	638341106	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina baltica	314276	OS145	2722127	2660	NA
t650377947	Bacteria	Finished	Haemophilus parainfluenzae T3T1	Haemophilus parainfluenzae T3T1	Wellcome Trust Sanger Institute	650377947	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae	862965	T3T1	2086875	2069	NA
t647000228	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Clostridioides difficile NAP08	Baylor College of Medicine	647000228	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	525259	NAP08	4022033	3809	NA
t646311930	Bacteria	Finished	Obsidian Hot Spring Microbial Community Genomics	Geobacillus sp. Y412MC61	DOE Joint Genome Institute (JGI)	646311930	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus sp. Y412MC61	544556	Y412MC61	3667901	3718	NA
t646564587	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Tsukamurella paurometabola 33, DSM 20162	DOE Joint Genome Institute (JGI)	646564587	Actinobacteria	Actinobacteria	Corynebacteriales	Tsukamurellaceae	Tsukamurella	Tsukamurella paurometabola	521096	33, DSM 20162	4479724	4391	NA
t2512047073	Bacteria	Permanent Draft	Streptococcus ictaluri 707-05	Streptococcus ictaluri 707-05	J. Craig Venter Institute (JCVI)	2512047073	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus ictaluri	764299	707-05	2234402	2529	NA
t648276683	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Lactobacillus jensenii JV-V16	Baylor College of Medicine	648276683	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii	525329	JV-V16	1600834	1517	NA
t644736340	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Chitinophaga pinensis UQM 2034, DSM 2588	DOE Joint Genome Institute (JGI)	644736340	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Chitinophaga	Chitinophaga pinensis	485918	UQM 2034, DSM 2588	9127347	7396	NA
t648276733	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Streptococcus gallolyticus gallolyticus TX20005	Baylor College of Medicine	648276733	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gallolyticus	545774	TX20005	2214091	2255	NA
t643348561	Bacteria	Finished	Listeria monocytogenes HCC23	Listeria monocytogenes sv. 4a HCC23	Mississippi State University	643348561	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	552536	HCC23	2976212	3059	NA
t647000337	Bacteria	Permanent Draft	Vibrio furnissii CIP 102972	Vibrio furnissii sv. II CIP 102972	Los Alamos National Laboratory	647000337	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio furnissii	675811	CIP 102972	4958664	4549	NA
t2511231087	Bacteria	Finished	Brucella canis HSK A52141	Brucella canis HSK A52141	Macrogen	2511231087	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella canis	1104321	HSK A52141	3277512	3342	NA
t650716006	Bacteria	Finished	Aeromonas veronii B565	Aeromonas veronii B565	Nankai University, Chinese Academy of Agricultural Sciences	650716006	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	998088	B565	4551783	4161	NA
t649633036	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Desulfobulbus propionicus 1pr3, DSM 2032	DOE Joint Genome Institute (JGI)	649633036	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus	Desulfobulbus propionicus	577650	1pr3, DSM 2032	3851869	3408	100
t644736401	Bacteria	Finished	CSP_776821	Rhizobium leguminosarum bv. trifolii WSM1325	DOE Joint Genome Institute (JGI)	644736401	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium leguminosarum	395491	WSM1325	7418122	7292	NA
t642979339	Bacteria	Permanent Draft	Salmonella enterica enterica sv Typhi J185	Salmonella enterica enterica sv. Typhi J185	Wellcome Trust Sanger Institute	642979339	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	496067	J185	4743914	5108	NA
t2509276062	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Solitalea canadensis USAM 9D, DSM 3403	DOE Joint Genome Institute (JGI)	2509276062	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Solitalea	Solitalea canadensis	929556	USAM 9D, DSM 3403	5202069	4490	NA
t651053040	Bacteria	Finished	Lactobacillus johnsonii DPC 6026	Lactobacillus johnsonii DPC 6026	Teagasc	651053040	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii	909954	DPC 6026	1966342	1840	NA
t2511231170	Bacteria	Finished	Escherichia coli clone D i14	Escherichia coli clone D i14	Tianjin Biochip	2511231170	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	885275	clone D i14	5038386	5049	NA
t640753045	Bacteria	Finished	Rickettsia canadensis McKiel	Rickettsia canadensis McKiel	University of Iowa	640753045	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia canadensis	293613	McKiel	1159772	1129	NA
t645951858	Bacteria	Permanent Draft	Arthrospira platensis Paraca	Arthrospira platensis Paraca	ANRT	645951858	Cyanobacteria	unclassified	Oscillatoriales	Microcoleaceae	Arthrospira	Arthrospira platensis	634502	Paraca	4997563	5401	NA
t643692037	Bacteria	Finished	Staphylococcus carnosus carnosus TM300	Staphylococcus carnosus carnosus TM300	MWG-Biotech	643692037	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus carnosus	396513	TM300	2566424	2538	NA
t648028043	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Mobiluncus curtisii ATCC 43063	Baylor College of Medicine	648028043	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus curtisii	548479	ATCC 43063	2146480	1965	NA
t644736349	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Desulfohalobium retbaense HR100, DSM 5692	DOE Joint Genome Institute (JGI)	644736349	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfohalobium	Desulfohalobium retbaense	485915	HR100, DSM 5692	2909567	2612	NA
t2511231073	Bacteria	Finished	Mycoplasma suis Illinois	Mycoplasma suis KI_3806	Eurofins Medigenomix GmbH	2511231073	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma suis	708248	KI_3806	709270	844	NA
t639633037	Bacteria	Finished	Single Microbes 2005 CSP	Marinobacter aquaeolei VT8	DOE Joint Genome Institute (JGI)	639633037	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter hydrocarbonoclasticus	351348	VT8	4779762	4342	NA
t637000321	Bacteria	Finished	Thermotoga maritima MSB8	Thermotoga maritima MSB8	J. Craig Venter Institute (JCVI)	637000321	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima	243274	MSB8	1860725	1915	NA
t641522649	Bacteria	Finished	4 Shewanellas	Shewanella woodyi MS32, ATCC 51908	DOE Joint Genome Institute (JGI)	641522649	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella woodyi	392500	MS32, ATCC 51908	5935403	5085	100
t650716015	Bacteria	Finished	Candidatus Midichloria mitochondrii IricVA	Candidatus Midichloria mitochondrii IricVA	University of Milan	650716015	Proteobacteria	Alphaproteobacteria	Rickettsiales	Candidatus Midichloriaceae	Candidatus Midichloria	Candidatus Midichloria mitochondrii	696127	IricVA	1183732	1248	NA
t641522608	Bacteria	Finished	4 Burkholderia	Burkholderia ambifaria MC40-6	DOE Joint Genome Institute (JGI)	641522608	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ambifaria	398577	MC40-6	7642536	6878	NA
t641522645	Bacteria	Finished	Mn II oxidizing P. putida	Pseudomonas putida GB-1	DOE Joint Genome Institute (JGI)	641522645	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	76869	GB-1	6078430	5515	NA
t643886179	Bacteria	Permanent Draft	Bacillus cereus sequencing, Naval Medical Research center	Bacillus cereus AH676	Naval Medical Research Center	643886179	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	526991	AH676	5563247	5696	NA
t643886109	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Leuconostoc mesenteroides cremoris ATCC 19254	Baylor College of Medicine	643886109	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc mesenteroides	586220	ATCC 19254	1638511	1898	NA
t640753005	Bacteria	Finished	Bacillus amyloliquefaciens FZB42	Bacillus amyloliquefaciens plantarum FZB42	University of Gottingen	640753005	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	326423	FZB42	3918589	3814	NA
t640427112	Bacteria	Finished	Dichelobacter nodosus VCS1703A	Dichelobacter nodosus VCS1703A	J. Craig Venter Institute (JCVI)	640427112	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Dichelobacter	Dichelobacter nodosus	246195	VCS1703A	1389350	1346	NA
t637000123	Bacteria	Finished	Granulibacter bethesdensis CGDNIH	Granulibacter bethesdensis CGDNIH1	Integrated Genomics	637000123	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Granulibacter	Granulibacter bethesdensis	391165	CGDNIH1	2708355	2510	NA
t642979363	Bacteria	Permanent Draft	Mycobacterium tuberculosis sequencing- Broad Institute	Mycobacterium tuberculosis EAS054	Broad Institute	642979363	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	520140	EAS054	4366920	4150	NA
t645951841	Bacteria	Permanent Draft	Vibrio mimicus VM603	Vibrio mimicus VM603	Osaka University, Laboratorio Nacional de Computacao Cientifica	645951841	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio mimicus	671074	VM603	4350709	3833	NA
t641522660	Bacteria	Finished	WFO-LANL Proposal	Xylella fastidiosa M23	DOE Joint Genome Institute (JGI)	641522660	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa	405441	M23	2573987	2295	100
t648276741	Bacteria	Permanent Draft	Characterization, distribution, and expression of novel genes among eight clinical isolates of Streptococcus pneumoniae	Streptococcus pneumoniae BS455	West Penn Allegheny Health System	648276741	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	595501	BS455	2084124	2217	NA
t648231715	Bacteria	Finished	Mycoplasma pneumoniae 85138 Genome sequencing	Mycoplasma pneumoniae FH	J. Craig Venter Institute (JCVI)	648231715	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma pneumoniae	722438	FH	811088	670	NA
t643886153	Bacteria	Permanent Draft	Brucella ceti Cudo	Brucella ceti Cudo	Los Alamos National Laboratory	643886153	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella ceti	595497	Cudo	3389269	3213	NA
t648028044	Bacteria	Finished	Mycoplasma fermentans JER	Mycoplasma fermentans JER	University of Gottingen	648028044	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma fermentans	637387	JER	977524	838	NA
t649989940	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Enterococcus faecium TX0133C	Washington University in St. Louis	649989940	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	749525	TX0133C	2907366	3153	NA
t2511231101	Bacteria	Finished	Lactococcus garvieae ATCC 49156	Lactococcus garvieae sv. KG+	Kitasato University	2511231101	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae	420889	ATCC 49156	1950135	2024	NA
t647533123	Bacteria	Permanent Draft	Carboxydibrachium pacificum JM, DSM 12653	Caldanaerobacter subterraneus pacificus JM, DSM 12653	J. Craig Venter Institute (JCVI)	647533123	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter subterraneus	391606	JM	2344404	1741	NA
t637000076	Bacteria	Finished	Clostridium acetobutylicum ATCC 824	Clostridium acetobutylicum ATCC 824	Genome Therapeutics	637000076	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium acetobutylicum	272562	ATCC 824	4132880	4022	NA
t637000145	Bacteria	Finished	Lawsonia intracellularis PHE/MN1-00	Lawsonia intracellularis PHE/MN1-00	University of Minnesota	637000145	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Lawsonia	Lawsonia intracellularis	363253	PHE/MN1-00	1719014	1398	NA
t2512564053	Bacteria	Finished	Complete genome sequence of 23 Rickettsia strains	Rickettsia prowazekii Chernikova	Los Alamos National Laboratory	2512564053	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia prowazekii	1105094	Chernikova	1109804	881	NA
t650377924	Bacteria	Finished	Clostridium thermocellum DSM 1313 Whole Genome Shotgun Sequencing	Ruminiclostridium thermocellum LQ8, DSM 1313	DOE Joint Genome Institute (JGI)	650377924	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	Ruminiclostridium thermocellum	637887	LQ8, DSM 1313	3561619	3102	NA
t640427149	Bacteria	Finished	Prochlorococcus sp. WH 7803	Synechococcus sp. WH7803	CEA Genoscope, Institut Pasteur, Roscoff Center for Oceanography	640427149	Cyanobacteria	unclassified	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. WH 7803	32051	WH 7803	2366980	2591	NA
t643886172	Bacteria	Permanent Draft	Bacillus pseudomycoides DSM 12442	Bacillus pseudomycoides DSM 12442	Naval Medical Research Center	643886172	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides	527000	DSM 12442	5752014	5941	NA
t644736355	Bacteria	Finished	Phytopathogenic Enterobacteria	Dickeya zeae Ech1591	DOE Joint Genome Institute (JGI)	644736355	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Dickeya	Dickeya chrysanthemi	561229	Ech1591	4813854	4363	NA
t640069323	Bacteria	Finished	Prochlorococcus marinus sequencing - JCVI	Prochlorococcus marinus MIT9303	J. Craig Venter Institute (JCVI)	640069323	Cyanobacteria	unclassified	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	59922	MIT9303	2682675	3133	NA
t645058839	Bacteria	Permanent Draft	Brucella Genome Sequencing	Brucella abortus bv. 2 86/8/59	Broad Institute	645058839	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella abortus	520450	86/8/59	3255633	3168	NA
t650377907	Bacteria	Finished	Bacillus subtilis natto BEST195	Bacillus subtilis natto BEST195	Keio University	650377907	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	645657	BEST195	4097429	4508	NA
t640963047	Bacteria	Permanent Draft	Food borne pathogen- Broad institute	Listeria monocytogenes sv. 4b HPB2262	Broad Institute	640963047	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	401650	HPB2262	3006068	2839	NA
t646862333	Bacteria	Finished	Mycoplasma gallisepticum #4	Mycoplasma gallisepticum F	University of Connecticut	646862333	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma gallisepticum	708616	F	977612	795	NA
t648028022	Bacteria	Finished	CSP_300140_795911	Dehalogenimonas lykanthroporepellens BL-DC-9	DOE Joint Genome Institute (JGI)	648028022	Chloroflexi	Dehalococcoidia	unclassified	unclassified	Dehalogenimonas	Dehalogenimonas lykanthroporepellens	552811	BL-DC-9	1686510	1771	NA
t646311926	Bacteria	Finished	Escherichia coli K-12, MG1655	Escherichia coli K-12, MG1655	University of Wisconsin, Madison	646311926	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	511145	K-12 MG1655	4639675	4497	NA
t637000085	Bacteria	Finished	Corynebacterium jeikeium K411	Corynebacterium jeikeium K411	J. Craig Venter Institute (JCVI), Bielefeld University	637000085	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium	306537	K411	2476822	2186	NA
t651053030	Bacteria	Finished	Helicobacter pylori sequencing project - Univ of Hyderabad	Helicobacter pylori 2018	University of Hyderabad	651053030	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	985080	2018	1562832	1642	NA
t646564506	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Arcobacter nitrofigilis DSM 7299	DOE Joint Genome Institute (JGI)	646564506	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Arcobacter nitrofigilis	572480	DSM 7299	3192235	3220	NA
t641736274	Bacteria	Permanent Draft	Alpha-hemolytic Streptococcal isolate	Streptococcus pneumoniae CDC3059-06	J. Craig Venter Institute (JCVI)	641736274	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	453365	CDC3059-06	2292125	2176	NA
t640427138	Bacteria	Finished	Rhodobacter sphaeroides Strains	Rhodobacter sphaeroides ATCC 17025	DOE Joint Genome Institute (JGI)	640427138	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides	349102	ATCC 17025	4557127	4475	NA
t2511231211	Bacteria	Finished	Comparative genomic characterization of prevalent Streptococcus suis serotypes	Streptococcus suis ST1	Beijing Genomics Institute (BGI)	2511231211	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	1004951	ST1	2034321	2097	NA
t651324002	Bacteria	Permanent Draft	Acetonema longum DSM 6540	Acetonema longum APO-1, DSM 6540	California Institute of Technology	651324002	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Acetonema	Acetonema longum	1009370	APO-1, DSM 6540	4323011	4347	NA
t648276627	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Campylobacter coli JV20	Baylor College of Medicine	648276627	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	864566	JV20	1678593	1818	NA
t642555172	Bacteria	Finished	Candidatus Endomicrobium sp. Rs-D17	uncultured Termite group 1 bacterium Rs-D17	RIKEN	642555172	Elusimicrobia	unclassified	unclassified	unclassified	unclassified	uncultured Termite group 1 bacterium	471821	Rs-D17	1148570	824	NA
t649990019	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Succinatimonas hippei YIT 12066	Washington University in St. Louis	649990019	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinatimonas	Succinatimonas hippei	762983	YIT 12066	2305942	2223	NA
t2506520041	Bacteria	Finished	Sequencing the genomes of six novel denitrifying bacterial isolates from the uranium and nitrate contaminated subsurface at the U.S. DOE Oak Ridge Integrated Field Research Center (OR-IFRC)	Rhodanobacter denitrificans 2APBS1	DOE Joint Genome Institute (JGI)	2506520041	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	Rhodanobacter denitrificans	666685	2APBS1	4225490	3962	NA
t2503198000	Bacteria	Finished	CSP_300131_795687	Mesorhizobium opportunistum WSM2075 (final version from ORNL)	DOE Joint Genome Institute (JGI)	2503198000	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium opportunistum	536019	WSM2075	6884444	6747	NA
t645058715	Bacteria	Permanent Draft	Neisseria gonorrhoeae Genome sequencing Project	Neisseria gonorrhoeae DGI18	Broad Institute	645058715	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	528347	DGI18	2035914	2186	NA
t643348587	Bacteria	Finished	Vibrio splendidus LGP32	Vibrio splendidus LGP32	Institut Pasteur	643348587	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio tasmaniensis	575788	LGP32	4974821	4572	NA
t641736247	Bacteria	Permanent Draft	Yersinia pestis bv Orientalis MG05-1020	Yersinia pestis bv. Orientalis MG05-1020	J. Craig Venter Institute (JCVI)	641736247	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	404217	MG05-1020	4977609	4509	NA
t646564525	Bacteria	Finished	Deferribacter desulfuricans SSM1, DSM 14783	Deferribacter desulfuricans SSM1	National Institute of Technology and Evaluation	646564525	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Deferribacter	Deferribacter desulfuricans	639282	SSM1	2542933	2425	NA
t641522601	Bacteria	Finished	Acholeplasma laidlawii PG-8A	Acholeplasma laidlawii PG-8A	Research Institute for Physical-Chemical Medicine of Ministry of Public Health of Russian Federation	641522601	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma laidlawii	441768	PG-8A	1496992	1422	NA
t648276651	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Escherichia coli MS 116-1	Washington University in St. Louis	648276651	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	749538	MS 116-1	4840256	5279	NA
t2512564031	Bacteria	Finished	Rickettsia canadensis CA410	Rickettsia canadensis CA410	Los Alamos National Laboratory	2512564031	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia canadensis	1105107	CA410	1150228	1052	NA
t645058738	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Selenomonas flueggei ATCC 43531	Baylor College of Medicine	645058738	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas flueggei	638302	ATCC 43531	2157862	2178	NA
t2512047069	Bacteria	Permanent Draft	Rheinheimera sp. A13L	Rheinheimera sp. A13L	Institute of Genomics and Integrative Biology (IGIB), Council of Scientific and Industrial Research (CSIR)	2512047069	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera	Rheinheimera sp. A13L	506534	A13L	4523491	4019	NA
t637000139	Bacteria	Finished	Lactobacillus delbrueckii bulgaricus ATCC 11842	Lactobacillus delbrueckii bulgaricus sv. E Lb14	CEA Genoscope	637000139	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii	390333	Lb14	1864998	2234	NA
t2511231162	Bacteria	Finished	Rhodospirillum rubrum F11	Rhodospirillum rubrum F11	University of Washington	2511231162	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	Rhodospirillum rubrum	1036743	F11	4352825	3945	NA
t642979355	Bacteria	Permanent Draft	CSP_777420	Burkholderia sp. H160	DOE Joint Genome Institute (JGI)	642979355	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. H160	516466	H160	7893354	7515	NA
t637000054	Bacteria	Finished	Campylobacter jejuni project - TIGR	Campylobacter jejuni RM1221	J. Craig Venter Institute (JCVI)	637000054	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	195099	RM1221	1777831	1938	NA
t2501533205	Bacteria	Permanent Draft	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Dethiosulfovibrio peptidovorans SEBR 4207, DSM 11002	DOE Joint Genome Institute (JGI)	2501533205	Synergistetes	Synergistia	Synergistales	Synergistaceae	Dethiosulfovibrio	Dethiosulfovibrio peptidovorans	469381	SEBR 4207, DSM 11002	2576359	2527	NA
t650716029	Bacteria	Finished	Corynebacterium resistens DSM 45100	Corynebacterium resistens DSM 45100	Bielefeld University	650716029	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium resistens	662755	DSM 45100	2601311	2230	NA
t651324091	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Propionibacterium sp. 409-HC1	J. Craig Venter Institute (JCVI)	651324091	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium sp. 409-HC1	936047	409-HC1	2528533	2551	NA
t638341117	Bacteria	Permanent Draft	Listeria monocytogenes 1/2a F6854	Listeria monocytogenes sv. 1/2a F6854	J. Craig Venter Institute (JCVI)	638341117	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	267409	F6854	2950285	3055	NA
t646862313	Bacteria	Finished	Analysis of Chlamydia trachomatis strains,Oregon State Univ	Chlamydia trachomatis E/11023	DOE Joint Genome Institute (JGI)	646862313	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	707183	E/11023	1043025	969	NA
t641736151	Bacteria	Permanent Draft	CSP_777420	Paraburkholderia graminis C4D1M	DOE Joint Genome Institute (JGI)	641736151	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia graminis	396598	C4D1M	7477263	6798	NA
t651324064	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Lactobacillus iners UPII 60-B	J. Craig Venter Institute (JCVI)	651324064	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners	928328	UPII 60-B	1323615	1330	NA
t648028011	Bacteria	Finished	CSP_777420	Burkholderia sp. CCGE1003	DOE Joint Genome Institute (JGI)	648028011	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. CCGE1003	640512	CCGE1003	7043595	6188	NA
